"Local Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.08.2018 18:00";"28.8";"754.6";"757.4";"-0.5";"62";"Wind blowing from the north-northeast";"6";"";"12";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.7";"";"";"";"";"";"";
"17.08.2018 15:00";"28.5";"755.1";"757.9";"-0.2";"55";"Wind blowing from the north-northeast";"5";"";"9";"70 � 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.7";"No precipitation";"6";"";"";"";"";
"17.08.2018 12:00";"26.9";"755.3";"758.2";"0.1";"68";"Wind blowing from the east-southeast";"4";"";"9";"60%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.6";"";"";"";"";"";"";
"17.08.2018 09:00";"27.0";"755.2";"758.0";"0.6";"74";"Wind blowing from the east-northeast";"4";"";"";"60%.";" ";"";"";"24.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"23.0";"";"";
"17.08.2018 06:00";"24.6";"754.6";"757.3";"0.0";"83";"Wind blowing from the north-northeast";"3";"";"6";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.6";"";"";"";"";"";"";
"17.08.2018 03:00";"24.6";"754.6";"757.4";"-0.1";"83";"Wind blowing from the north-northeast";"4";"";"11";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.5";"No precipitation";"6";"";"";"";"";
"17.08.2018 00:00";"25.3";"754.7";"757.6";"0.0";"79";"Wind blowing from the north-east";"5";"";"11";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.3";"";"";"";"";"";"";
"16.08.2018 21:00";"27.0";"754.7";"757.6";"0.2";"69";"Wind blowing from the north-northeast";"5";"";"10";"40%.";" ";"";"";"";"31.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.9";"No precipitation";"12";"";"";"";"";
"16.08.2018 18:00";"30.5";"754.5";"757.3";"-0.4";"49";"Wind blowing from the north-northeast";"6";"";"10";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.7";"";"";"";"";"";"";
"16.08.2018 15:00";"29.9";"754.9";"757.7";"-0.5";"56";"Wind blowing from the north";"5";"";"10";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.2";"No precipitation";"6";"";"";"";"";
"16.08.2018 12:00";"26.7";"755.4";"758.2";"0.1";"71";"Wind blowing from the south";"3";"";"7";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.0";"";"";"";"";"";"";
"16.08.2018 09:00";"25.6";"755.3";"758.2";"0.4";"77";"Wind blowing from the east-southeast";"3";"";"";"50%.";" ";"";"";"24.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"22.0";"";"";
"16.08.2018 06:00";"24.4";"754.9";"757.7";"-0.2";"80";"Wind blowing from the north-northeast";"3";"";"6";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.8";"";"";"";"";"";"";
"16.08.2018 03:00";"25.3";"755.1";"757.9";"-0.2";"79";"Wind blowing from the east-northeast";"3";"";"9";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.3";"No precipitation";"6";"";"";"";"";
"16.08.2018 00:00";"25.4";"755.3";"758.2";"0.4";"80";"Wind blowing from the north-east";"4";"";"9";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"15.08.2018 21:00";"27.5";"754.9";"757.7";"0.3";"67";"Wind blowing from the north-east";"5";"";"13";"no clouds";" ";"";"";"";"32.3";"";"";"";"";"";"10.0";"20.9";"No precipitation";"12";"";"";"";"";
"15.08.2018 18:00";"29.1";"754.6";"757.5";"-0.2";"55";"Wind blowing from the north-northeast";"9";"";"13";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.2";"";"";"";"";"";"";
"15.08.2018 15:00";"31.9";"754.8";"757.6";"-0.2";"46";"Wind blowing from the north-northeast";"6";"";"13";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.9";"No precipitation";"6";"";"";"";"";
"15.08.2018 12:00";"28.9";"755.0";"757.8";"0.1";"55";"Wind blowing from the north-east";"6";"";"12";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.0";"";"";"";"";"";"";
"15.08.2018 09:00";"27.6";"754.9";"757.6";"0.2";"57";"Wind blowing from the north-east";"6";"";"";"20�30%.";" ";"";"";"24.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"22.0";"";"";
"15.08.2018 06:00";"24.5";"754.7";"757.6";"-0.5";"71";"Wind blowing from the north-northeast";"3";"";"6";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.9";"";"";"";"";"";"";
"15.08.2018 03:00";"25.2";"755.2";"758.0";"-0.6";"71";"Wind blowing from the north-east";"4";"";"11";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.5";"No precipitation";"6";"";"";"";"";
"15.08.2018 00:00";"25.7";"755.8";"758.6";"-0.1";"66";"Wind blowing from the north-east";"6";"";"11";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"14.08.2018 21:00";"28.2";"755.9";"758.8";"0.2";"55";"Wind blowing from the north-northeast";"6";"";"12";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"18.3";"No precipitation";"12";"";"";"";"";
"14.08.2018 18:00";"29.1";"755.7";"758.5";"-0.3";"47";"Wind blowing from the north-east";"7";"";"11";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"14.08.2018 15:00";"31.2";"756.0";"758.8";"-1.0";"38";"Wind blowing from the north-northeast";"7";"";"10";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.4";"No precipitation";"6";"";"";"";"";
"14.08.2018 12:00";"26.6";"757.0";"759.9";"0.5";"63";"Wind blowing from the south-southeast";"3";"";"6";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.0";"";"";"";"";"";"";
"14.08.2018 09:00";"26.2";"756.5";"759.4";"0.0";"67";"Wind blowing from the east-northeast";"3";"";"";"50%.";" ";"";"";"21.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"No precipitation";"12";"Surface of ground moist.";"19.0";"";"";
"14.08.2018 06:00";"22.5";"756.5";"759.4";"-0.1";"73";"Wind blowing from the north";"3";"";"5";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"14.08.2018 03:00";"25.0";"756.6";"759.4";"-0.5";"62";"Wind blowing from the north-east";"3";"";"10";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.1";"No precipitation";"6";"";"";"";"";
"14.08.2018 00:00";"24.2";"757.1";"760.0";"-0.2";"62";"Wind blowing from the north-east";"4";"";"10";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"13.08.2018 21:00";"25.7";"757.3";"760.1";"0.3";"57";"Wind blowing from the east-northeast";"5";"";"12";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"16.4";"No precipitation";"12";"";"";"";"";
"13.08.2018 18:00";"27.9";"757.0";"759.9";"-0.7";"43";"Wind blowing from the north-east";"7";"";"12";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.1";"";"";"";"";"";"";
"13.08.2018 15:00";"29.0";"757.7";"760.6";"-0.8";"44";"Wind blowing from the north-east";"7";"12";"12";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.6";"No precipitation";"6";"";"";"";"";
"13.08.2018 12:00";"27.9";"758.5";"761.4";"-0.3";"45";"Wind blowing from the north-east";"8";"";"12";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.9";"";"";"";"";"";"";
"13.08.2018 09:00";"25.0";"758.8";"761.6";"0.4";"52";"Wind blowing from the east";"6";"";"";"20�30%.";" ";"";"";"23.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"13.08.2018 06:00";"23.5";"758.4";"761.2";"-0.4";"55";"Wind blowing from the east-northeast";"4";"";"7";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"";"";"";"";"";"";
"13.08.2018 03:00";"25.1";"758.8";"761.6";"-0.6";"51";"Wind blowing from the east";"4";"";"9";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.2";"No precipitation";"6";"";"";"";"";
"13.08.2018 00:00";"24.9";"759.4";"762.3";"-0.3";"57";"Wind blowing from the east-northeast";"4";"";"9";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.8";"";"";"";"";"";"";
"12.08.2018 21:00";"27.7";"759.7";"762.5";"0.3";"45";"Wind blowing from the east-northeast";"5";"";"12";"10%  or less, but not 0";" ";"";"";"";"30.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.8";"No precipitation";"12";"";"";"";"";
"12.08.2018 18:00";"28.5";"759.4";"762.3";"-0.3";"39";"Wind blowing from the east-northeast";"6";"";"10";"20�30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.3";"";"";"";"";"";"";
"12.08.2018 15:00";"28.7";"759.7";"762.6";"-0.6";"40";"Wind blowing from the north-northeast";"6";"";"10";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.6";"No precipitation";"6";"";"";"";"";
"12.08.2018 12:00";"25.0";"760.3";"763.1";"0.5";"59";"Wind blowing from the south-southeast";"4";"";"9";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.3";"";"";"";"";"";"";
"12.08.2018 09:00";"25.6";"759.8";"762.7";"0.6";"54";"Wind blowing from the south-east";"5";"";"";"60%.";" ";"";"";"23.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"9.0";"15.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"12.08.2018 06:00";"23.3";"759.2";"762.1";"-0.3";"55";"Wind blowing from the north-northeast";"3";"";"8";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.7";"";"";"";"";"";"";
"12.08.2018 03:00";"24.1";"759.5";"762.4";"-0.5";"53";"Wind blowing from the north-east";"4";"";"10";"20�30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"No precipitation";"6";"";"";"";"";
"12.08.2018 00:00";"24.4";"760.0";"762.9";"0.2";"50";"Wind blowing from the north-east";"5";"";"10";"20�30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.3";"";"";"";"";"";"";
"11.08.2018 21:00";"27.4";"759.8";"762.7";"0.3";"49";"Wind blowing from the east-northeast";"6";"";"14";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.6";"No precipitation";"12";"";"";"";"";
"11.08.2018 18:00";"28.1";"759.5";"762.4";"-0.1";"39";"Wind blowing from the north-east";"8";"";"14";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.8";"";"";"";"";"";"";
"11.08.2018 15:00";"28.0";"759.6";"762.4";"-0.6";"46";"Wind blowing from the north-northeast";"8";"";"13";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.4";"No precipitation";"6";"";"";"";"";
"11.08.2018 12:00";"28.0";"760.2";"763.0";"-0.2";"45";"Wind blowing from the north-east";"8";"";"12";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.8";"";"";"";"";"";"";
"11.08.2018 09:00";"27.3";"760.4";"763.3";"0.1";"44";"Wind blowing from the east-northeast";"7";"";"";"40%.";" ";"";"";"24.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"22.0";"";"";
"11.08.2018 06:00";"24.6";"760.3";"763.1";"-0.4";"51";"Wind blowing from the north-east";"5";"";"10";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"11.08.2018 03:00";"25.9";"760.7";"763.6";"-0.8";"47";"Wind blowing from the east-northeast";"7";"";"13";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"No precipitation";"6";"";"";"";"";
"11.08.2018 00:00";"25.9";"761.5";"764.3";"0.3";"51";"Wind blowing from the north-east";"5";"";"13";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"10.08.2018 21:00";"27.2";"761.2";"764.1";"0.6";"53";"Wind blowing from the north-east";"8";"";"15";"20�30%.";" ";"";"";"";"33.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.9";"No precipitation";"12";"";"";"";"";
"10.08.2018 18:00";"29.9";"760.6";"763.5";"0.0";"46";"Wind blowing from the north-east";"8";"";"15";"50%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.0";"";"";"";"";"";"";
"10.08.2018 15:00";"30.3";"760.6";"763.5";"-0.5";"43";"Wind blowing from the north-east";"9";"15";"15";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.3";"No precipitation";"6";"";"";"";"";
"10.08.2018 12:00";"29.9";"761.1";"763.9";"0.2";"43";"Wind blowing from the east-northeast";"8";"";"13";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.1";"";"";"";"";"";"";
"10.08.2018 09:00";"28.6";"760.9";"763.8";"0.7";"58";"Wind blowing from the east-northeast";"5";"";"";"40%.";" ";"";"";"25.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"24.0";"";"";
"10.08.2018 06:00";"25.2";"760.2";"763.0";"0.2";"76";"Wind blowing from the north-northeast";"4";"";"8";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.6";"";"";"";"";"";"";
"10.08.2018 03:00";"26.9";"760.0";"762.8";"-0.4";"68";"Wind blowing from the north-east";"4";"";"12";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.6";"No precipitation";"6";"";"";"";"";
"10.08.2018 00:00";"26.3";"760.4";"763.3";"-0.1";"69";"Wind blowing from the north-northeast";"6";"";"12";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.2";"";"";"";"";"";"";
"09.08.2018 21:00";"27.2";"760.5";"763.3";"0.7";"63";"Wind blowing from the north-northeast";"7";"";"15";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"10.0";"19.5";"No precipitation";"12";"";"";"";"";
"09.08.2018 18:00";"29.2";"759.8";"762.7";"0.0";"47";"Wind blowing from the north-northeast";"9";"";"15";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.9";"";"";"";"";"";"";
"09.08.2018 15:00";"31.6";"759.8";"762.6";"-0.2";"44";"Wind blowing from the north-northeast";"8";"";"13";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.8";"No precipitation";"6";"";"";"";"";
"09.08.2018 12:00";"30.2";"760.0";"762.9";"0.2";"46";"Wind blowing from the north-northeast";"6";"";"10";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.2";"";"";"";"";"";"";
"09.08.2018 09:00";"28.0";"759.8";"762.7";"0.8";"60";"Wind blowing from the north-northeast";"6";"";"";"40%.";" ";"";"";"25.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"23.0";"";"";
"09.08.2018 06:00";"25.5";"759.0";"761.8";"0.4";"70";"Wind blowing from the north-northeast";"6";"";"9";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"";"";"";"";"";"";
"09.08.2018 03:00";"26.7";"758.6";"761.4";"-0.5";"70";"Wind blowing from the north-northeast";"5";"10";"11";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.8";"No precipitation";"6";"";"";"";"";
"09.08.2018 00:00";"27.0";"759.1";"762.0";"0.3";"72";"Wind blowing from the north-east";"5";"";"11";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.5";"";"";"";"";"";"";
"08.08.2018 21:00";"27.9";"758.8";"761.6";"0.7";"70";"Wind blowing from the north-east";"7";"";"14";"10%  or less, but not 0";" ";"";"";"";"33.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"11.0";"22.0";"No precipitation";"12";"";"";"";"";
"08.08.2018 18:00";"29.8";"758.1";"760.9";"0.1";"57";"Wind blowing from the north-northeast";"9";"";"14";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.4";"";"";"";"";"";"";
"08.08.2018 15:00";"31.8";"758.0";"760.8";"-0.4";"51";"Wind blowing from the north";"7";"12";"13";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.4";"No precipitation";"6";"";"";"";"";
"08.08.2018 12:00";"30.4";"758.4";"761.2";"0.0";"55";"Wind blowing from the north";"5";"";"9";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.4";"";"";"";"";"";"";
